category,product,configuration,alibaba_product_id,source_url,image_url,checked_at,sales_status
1,1,TWS in-ear earbuds,1601360164923,https://www.alibaba.com/product-detail/Best-Seller-Z40-TWS-Earbuds-with_1601360164923.html,https://s.alicdn.com/@sc04/kf/H0387a86230664f4dbb678621f93e3a45j.png_300x300.jpg,2026-09-24,Not verified for this exact offer; no bestseller badge
2,4,RGB desktop speaker pair,1600737352357,https://www.alibaba.com/product-detail/Wired-Computer-Speaker-1-5m-Cable_1600737352357.html,https://s.alicdn.com/@sc04/kf/Heafdf890cdba4903a458dda2f74da736c.jpg_300x300.jpg,2026-09-24,Not verified for this exact offer; no bestseller badge
2,5,Bluetooth desktop pair,62371795999,https://www.alibaba.com/product-detail/Hifi-Multimedia-Gaming-Computer-Active-Bluetooth_62371795999.html,https://s.alicdn.com/@sc04/kf/H40cb7f79b76e4c459616baca8fcd738dT.jpg_300x300.jpg,2026-09-24,Not verified for this exact offer; no bestseller badge
2,6,2.1 desktop system,1601123764013,https://www.alibaba.com/product-detail/Meetion-SP2111BT-desktop-computer-2-1_1601123764013.html,https://s.alicdn.com/@sc04/kf/H060d6826520741798f3adab728ea301eM.png_300x300.jpg,2026-09-24,Not verified for this exact offer; no bestseller badge
2,7,Active desktop stereo pair,1601296624791,https://www.alibaba.com/product-detail/Manufacturer-Wholesale-Powered-Studio-Monitor-2_1601296624791.html,https://s.alicdn.com/@sc04/kf/H1293c34b96b94e5f9dd3a1281814f172Q.jpg_300x300.jpg,2026-09-24,Not verified for this exact offer; no bestseller badge
2,8,Desktop speakers with headphone output,60859030473,https://www.alibaba.com/product-detail/Hot-selling-portable-usb-mini-sound_60859030473.html,https://s.alicdn.com/@sc04/kf/HTB1gsdqajzuK1Rjy0Fpq6yEpFXaV.jpg_300x300.jpg,2026-09-24,Not verified for this exact offer; no bestseller badge
3,1,Pocket Bluetooth speaker,1600306453189,https://www.alibaba.com/product-detail/Wholesale-IPX4-waterproof-bluetooth-speaker-portable_1600306453189.html,https://s.alicdn.com/@sc04/kf/H20f073efe20d4e4196c33a69368cabb8e.jpg_300x300.jpg,2026-09-24,Not verified for this exact offer; no bestseller badge
3,2,Mini RGB speaker,1601683142244,https://www.alibaba.com/product-detail/Noise-Cancelling-Outdoor-Travel-Portable-Bluetooth_1601683142244.html,https://s.alicdn.com/@sc04/kf/Ha11b3e3ba85647aa8663f709002f9a21v.jpg_300x300.jpg,2026-09-24,Not verified for this exact offer; no bestseller badge
3,3,Clip-on travel speaker,1601645360462,https://www.alibaba.com/product-detail/Wearable-Portable-Bluetooth-Speaker-SP18-Mini_1601645360462.html,https://s.alicdn.com/@sc04/kf/H0c79a67300ec4e159139dace59e0fc72i.png_300x300.jpg,2026-09-24,Not verified for this exact offer; no bestseller badge
3,4,Suction-cup shower speaker,1601671538275,https://www.alibaba.com/product-detail/Wholesale-Portable-Shower-Suction-Cup-Waterproof_1601671538275.html,https://s.alicdn.com/@sc04/kf/Hf74e8a6815da4976a828c9c2db94d4a3z.jpg_300x300.jpg,2026-09-24,Not verified for this exact offer; no bestseller badge
3,5,Strap-carry outdoor speaker,1601693402223,https://www.alibaba.com/product-detail/High-Quality-Tg117-Wireless-Speaker-Portable_1601693402223.html,https://s.alicdn.com/@sc04/kf/H4c0dc555d7ed4f2aaa481c14ab58c571X.jpg_300x300.jpg,2026-09-24,Not verified for this exact offer; no bestseller badge
3,6,Handle-carry boombox,1601769564066,https://www.alibaba.com/product-detail/SOUNDBROS-Portable-Bluetooth-Speaker-IPX7-Waterproof_1601769564066.html,https://s.alicdn.com/@sc04/kf/H03da963912024de999e6c1bfc8b9d08fa.jpg_300x300.jpg,2026-09-24,Not verified for this exact offer; no bestseller badge
3,7,Stereo-pairing portable speaker,1601379146366,https://www.alibaba.com/product-detail/2-in-1-Portable-Split-Wireless_1601379146366.html,https://s.alicdn.com/@sc04/kf/Hc08b637d90164e8faf506afb1659a22cf.jpg_300x300.jpg,2026-09-24,Not verified for this exact offer; no bestseller badge
3,8,USB-playback portable speaker,1601240436890,https://www.alibaba.com/product-detail/Professional-Manufacturer-Wholesale-Speaker-BT-USB_1601240436890.html,https://s.alicdn.com/@sc04/kf/Hdc0c843de4354c2f965262dcc9ca11e8Q.png_300x300.jpg,2026-09-24,Not verified for this exact offer; no bestseller badge
3,9,Radio and Bluetooth speaker,1601716818634,https://www.alibaba.com/product-detail/Factory-Direct-1202-RGB-Colorful-Bluetooth_1601716818634.html,https://s.alicdn.com/@sc04/kf/Hd14bb255196c4d34a887c02494b3baf4b.jpg_300x300.jpg,2026-09-24,Not verified for this exact offer; no bestseller badge
3,10,Compact camping speaker,1600933090479,https://www.alibaba.com/product-detail/Factory-OEM-Wholesale-Price-Portable-Outdoor_1600933090479.html,https://s.alicdn.com/@sc04/kf/H57d4702089344edb942de532889284a7r.jpg_300x300.jpg,2026-09-24,Not verified for this exact offer; no bestseller badge
3,11,Retro portable speaker,1600954977042,https://www.alibaba.com/product-detail/OEM-Hot-Creative-Retro-Radio-Style_1600954977042.html,https://s.alicdn.com/@sc04/kf/H014dee9c19d04d7b8ab6788d386a3f22b.jpg_300x300.jpg,2026-09-24,Not verified for this exact offer; no bestseller badge
3,12,Microphone-ready portable speaker,1601053431877,https://www.alibaba.com/product-detail/Wholesale-smart-bluetooth-speaker-portable-outdoor_1601053431877.html,https://s.alicdn.com/@sc04/kf/Ha60fcf8a63d447828b875411ccbe30e1e.jpg_300x300.jpg,2026-09-24,Not verified for this exact offer; no bestseller badge
4,1,Shell-design mini karaoke speaker,1601262871530,https://www.alibaba.com/product-detail/High-Quality-Mini-Portable-Girls-Cute_1601262871530.html,https://s.alicdn.com/@sc04/kf/Hbfcada59db18490cbeb802233696e913P.jpg_300x300.jpg,2026-09-24,Not verified for this exact offer; no bestseller badge
4,2,Mini two-microphone karaoke set,1601417660479,https://www.alibaba.com/product-detail/FK12-Wireless-Rechargeable-Portable-Mini-with_1601417660479.html,https://s.alicdn.com/@sc04/kf/H594072bc39ba4004a70e77b89ed81bfdi.jpg_300x300.jpg,2026-09-24,Not verified for this exact offer; no bestseller badge
4,3,RGB karaoke gift set,1601428634799,https://www.alibaba.com/product-detail/Customized-Patterns-Support-Mini-2-Wireless_1601428634799.html,https://s.alicdn.com/@sc04/kf/H6e84f19b18314b0cb7d2e2f2951665b3s.jpg_300x300.jpg,2026-09-24,Not verified for this exact offer; no bestseller badge
4,4,Compact handle-carry party speaker,1601850957080,https://www.alibaba.com/product-detail/New-NDR-1745-8-Inch-Rechargeable_1601850957080.html,https://s.alicdn.com/@sc04/kf/H456e1a47b9ca4ce394d18e0ab187d6f1R.jpg_300x300.jpg,2026-09-24,Not verified for this exact offer; no bestseller badge
4,5,Single 8-inch party speaker,1601643940407,https://www.alibaba.com/product-detail/8-Inch-Wireless-Bluetooth-Speakers-Portable_1601643940407.html,https://s.alicdn.com/@sc04/kf/Hbace51cd3d8c462281a61d4e05be0eb8k.png_300x300.jpg,2026-09-24,Not verified for this exact offer; no bestseller badge
4,6,Dual 8-inch party speaker,1601729357491,https://www.alibaba.com/product-detail/BTS-2407-Dual-8-inch-Manufacturer_1601729357491.html,https://s.alicdn.com/@sc04/kf/H9d2e9e7d6fcd484f802496e8e2d25a8ba.png_300x300.jpg,2026-09-24,Not verified for this exact offer; no bestseller badge
4,7,Trolley party speaker,1601922476770,https://www.alibaba.com/product-detail/15-Inch-Portable-Rechargeable-PA-Speaker_1601922476770.html,https://s.alicdn.com/@sc04/kf/H68e49274823c421c837a2f73ddc2aef7o.jpg_300x300.jpg,2026-09-24,Not verified for this exact offer; no bestseller badge
4,8,Mains-powered party speaker,1601526286936,https://www.alibaba.com/product-detail/Diamond-Audio-12-Woofer-200W-AC_1601526286936.html,https://s.alicdn.com/@sc04/kf/Hbe613492864f4cadadaf5edf0e2cba106.jpg_300x300.jpg,2026-09-24,Not verified for this exact offer; no bestseller badge
4,9,Instrument-input party speaker,1601504101879,https://www.alibaba.com/product-detail/V-8-Inch-Rechargeable-Bluetooth-Portable_1601504101879.html,https://s.alicdn.com/@sc04/kf/Hd429bc457f4a4c819e672dbe3b63a664c.jpg_300x300.jpg,2026-09-24,Not verified for this exact offer; no bestseller badge
4,10,Wireless-microphone party set,1601845403881,https://www.alibaba.com/product-detail/Bluetooth-Speaker-with-Dual-Microphones-Portable_1601845403881.html,https://s.alicdn.com/@sc04/kf/H5014f9639da248ef98608b79bad175f2R.jpg_300x300.jpg,2026-09-24,Not verified for this exact offer; no bestseller badge
5,1,Compact active bookshelf pair,1601171904401,https://www.alibaba.com/product-detail/hifi-audio-small-high-quality-powered_1601171904401.html,https://s.alicdn.com/@sc04/kf/H8b3606f17a144caa8e1dd0cf2785d0d67.jpg_300x300.jpg,2026-09-24,Not verified for this exact offer; no bestseller badge
5,2,Bluetooth active bookshelf pair,1600747299529,https://www.alibaba.com/product-detail/2-0-CH-BT-Computer-Use_1600747299529.html,https://s.alicdn.com/@sc04/kf/Hdfdbaac2d11e41698e978d1da529fe7cu.jpg_300x300.jpg,2026-09-24,Not verified for this exact offer; no bestseller badge
5,3,Optical-input bookshelf pair,1601719172751,https://www.alibaba.com/product-detail/HYANKA-KPB-306-5Inch-HiFi-Bookshelf_1601719172751.html,https://s.alicdn.com/@sc04/kf/H78f020b6a7664c4f90cea8b13e1611fcD.jpg_300x300.jpg,2026-09-24,Not verified for this exact offer; no bestseller badge
5,4,USB-audio bookshelf pair,1601044336569,https://www.alibaba.com/product-detail/AIYIMA-Audio-80W-Active-Dual-Mode_1601044336569.html,https://s.alicdn.com/@sc04/kf/Hfb5d923228cb42b4857aeba5a6611ccdn.jpg_300x300.jpg,2026-09-24,Not verified for this exact offer; no bestseller badge
5,5,Subwoofer-output active pair,1600901000690,https://www.alibaba.com/product-detail/Built-in-5-0-Bluetooth-external_1600901000690.html,https://s.alicdn.com/@sc04/kf/Hf76fc5248fc24703956818192b89095eN.png_300x300.jpg,2026-09-24,Not verified for this exact offer; no bestseller badge
5,6,Compact passive bookshelf pair,1601831532139,https://www.alibaba.com/product-detail/HIFI-Stereo-Two-Way-Crossover-Passive_1601831532139.html,https://s.alicdn.com/@sc04/kf/Hc19cf365c1fb4e949775652f78673b10i.jpg_300x300.jpg,2026-09-24,Not verified for this exact offer; no bestseller badge
5,7,Larger passive bookshelf pair,62287565071,https://www.alibaba.com/product-detail/Passive-wooden-enclosure-100W-6-5_62287565071.html,https://s.alicdn.com/@sc04/kf/Ae4cad008b37049129ccebff14219e9a3t.jpg_300x300.jpg,2026-09-24,Not verified for this exact offer; no bestseller badge
5,8,Retro home audio speaker,1601570399979,https://www.alibaba.com/product-detail/Retro-Bluetooth-V5-4-Speaker-30W_1601570399979.html,https://s.alicdn.com/@sc04/kf/H83040fbca1b44b4b898cb3267e91edd1Z.jpg_300x300.jpg,2026-09-24,Not verified for this exact offer; no bestseller badge
