"locale","page","placement","copy","destination","status"
"ar","/ar/sourcing-services/","long-tail question","ما المعلومات المطلوبة للبحث عن موردين في الصين ومقارنة عروض الأسعار؟","/ar/sourcing-services/supplier-search/","rewritten"
"ar","/ar/sourcing-services/","long-tail question","هل تُفصل تكلفة المنتج وخدمة الشراء والشحن الدولي في عرض السعر؟","/ar/get-a-quote/?leadGoal=Product+Sourcing&source=sourcing_decisions","rewritten"
"ru","/ru/products/","H1","Оптовые закупки товаров и оборудования из Китая","","implemented"
"ru","/ru/products/","Title","Товары и оборудование из Китая оптом | DDNZ","","implemented"
"ru","/ru/sourcing-services/","H1","Агент по закупкам в Китае для розничных сетей и импортёров","","implemented"
"ru","/ru/sourcing-services/","Title","Агент по закупкам в Китае и поиск поставщиков | DDNZ","","implemented"
"ru","/ru/sourcing-services/","long-tail question","Нужен ли мне агент по закупкам в Китае или международный экспедитор?","/ru/how-we-work/","rewritten"
"ru","/ru/sourcing-services/","long-tail question","Можно ли проверить и консолидировать заказы у моих поставщиков?","/ru/sourcing-services/consolidation-export/","rewritten"
"ru","/ru/sourcing-services/","long-tail question","Какие данные нужны для поиска поставщиков в Китае и сравнения предложений?","/ru/sourcing-services/supplier-search/","rewritten"
"ru","/ru/sourcing-services/","long-tail question","Стоимость товара, закупочных услуг и международной перевозки указывается отдельно?","/ru/get-a-quote/?leadGoal=Product+Sourcing&source=sourcing_decisions","rewritten"
"fr","/fr/products/","H1","Achat en gros de produits et d’équipements en Chine","","implemented"
"fr","/fr/products/","Title","Produits et équipements de Chine : achat en gros | DDNZ","","implemented"
"fr","/fr/sourcing-services/","H1","Agent de sourcing en Chine pour détaillants et importateurs","","implemented"
"fr","/fr/sourcing-services/","Title","Agent de sourcing en Chine et recherche de fournisseurs | DDNZ","","implemented"
"fr","/fr/sourcing-services/","long-tail question","Ai-je besoin d’un agent de sourcing en Chine ou d’un transitaire ?","/fr/how-we-work/","rewritten"
"fr","/fr/sourcing-services/","long-tail question","Pouvez-vous inspecter et regrouper les commandes de mes propres fournisseurs ?","/fr/sourcing-services/consolidation-export/","rewritten"
"fr","/fr/sourcing-services/","long-tail question","Quelles informations fournir pour rechercher des fournisseurs en Chine et comparer les devis ?","/fr/sourcing-services/supplier-search/","rewritten"
"fr","/fr/sourcing-services/","long-tail question","Le produit, l’accompagnement achats et le fret international sont-ils chiffrés séparément ?","/fr/get-a-quote/?leadGoal=Product+Sourcing&source=sourcing_decisions","rewritten"
"pt","/pt/products/","H1","Compra de produtos e equipamentos da China no atacado","","implemented"
"pt","/pt/products/","Title","Produtos e equipamentos da China no atacado | DDNZ","","implemented"
"pt","/pt/sourcing-services/","H1","Agente de compras na China para lojistas e importadores","","implemented"
"pt","/pt/sourcing-services/","Title","Agente de compras na China e busca de fornecedores | DDNZ","","implemented"
"pt","/pt/sourcing-services/","long-tail question","Preciso de um agente de compras na China ou de um agente de cargas?","/pt/how-we-work/","rewritten"
"pt","/pt/sourcing-services/","long-tail question","Vocês podem inspecionar e consolidar pedidos dos meus próprios fornecedores?","/pt/sourcing-services/consolidation-export/","rewritten"
"pt","/pt/sourcing-services/","long-tail question","O que preciso enviar para buscar fornecedores na China e comparar cotações?","/pt/sourcing-services/supplier-search/","rewritten"
"pt","/pt/sourcing-services/","long-tail question","Produto, assessoria de compras e frete internacional são cotados separadamente?","/pt/get-a-quote/?leadGoal=Product+Sourcing&source=sourcing_decisions","rewritten"
"tr","/tr/products/","H1","Çin’den toptan ürün ve ekipman tedariki","","implemented"
"tr","/tr/products/","Title","Çin’den toptan ürün ve ekipman tedariki | DDNZ","","implemented"
"tr","/tr/sourcing-services/","H1","Perakendeciler ve ithalatçılar için Çin’den satın alma hizmeti","","implemented"
"tr","/tr/sourcing-services/","Title","Çin’den tedarik ve satın alma hizmetleri | DDNZ","","implemented"
"tr","/tr/sourcing-services/","long-tail question","Çin’den satın alma desteğine mi, uluslararası nakliye hizmetine mi ihtiyacım var?","/tr/how-we-work/","rewritten"
"tr","/tr/sourcing-services/","long-tail question","Kendi tedarikçilerimden aldığım ürünleri denetleyip siparişlerimi birleştirebilir misiniz?","/tr/sourcing-services/consolidation-export/","rewritten"
"tr","/tr/sourcing-services/","long-tail question","Çin’de tedarikçi bulmak ve teklifleri karşılaştırmak için hangi bilgiler gerekli?","/tr/sourcing-services/supplier-search/","rewritten"
"tr","/tr/sourcing-services/","long-tail question","Ürün, satın alma hizmeti ve uluslararası nakliye ayrı ayrı fiyatlandırılır mı?","/tr/get-a-quote/?leadGoal=Product+Sourcing&source=sourcing_decisions","rewritten"
