"language","landing_page","anchor","heading","question"
"zh","/zh-cn/phone-cases/","marketplace-seller-startup","手机壳电商低成本启动：面向 Noon、Amazon、Jumia 卖家的采购方案","小批量采购手机壳，可以用于在 Noon、Amazon 或 Jumia 开店吗？"
"es","/es/sourcing/restaurant-project-equipment/","restaurant-startup","Empezar un restaurante con poco presupuesto: equipos esenciales de China","¿Puede una cocina de comida para llevar o una cocina de reparto empezar con menos máquinas?"
"es","/es/sourcing/restaurant-project-equipment/","kitchen-budget","¿Cuál es el conjunto de equipos de cocina más económico que cumple mis necesidades?","¿Pueden cotizar un conjunto asequible según mi presupuesto?"
"es","/es/screen-protectors/wholesale-for-stores/","retail-privacy","Proveedores de protectores de privacidad de China para minoristas","¿Qué proveedor de protectores de privacidad conviene a una tienda nueva?"
"es","/es/sourcing/mobile-accessories-from-china/","accessory-startup","Emprender con accesorios para teléfonos: primer pedido desde China","¿Puedo combinar fundas, correas y protectores de privacidad en un pedido inicial pequeño?"
"es","/es/sourcing/restaurant-project-equipment/","small-cafe-budget","Cafetería pequeña con poco presupuesto: equipos básicos de China","¿Puedo abrir una cafetería pequeña con equipos de entrada?"
"es","/es/sourcing/restaurant-project-equipment/","bar-equipment-budget","Equipos económicos de China para bares y coctelerías","¿Cómo reduzco la inversión inicial de una coctelería?"
"es","/es/sourcing/audio-speakers-from-china/","party-speaker-budget","Cómo encontrar proveedores económicos de altavoces Bluetooth para fiestas en China","¿Pueden encontrar los altavoces Bluetooth para fiestas más baratos para reventa?"
"es","/es/phone-cases/","marketplace-seller-startup","Empezar a vender fundas online con poco presupuesto: Noon, Amazon y Jumia","¿Puedo empezar en Noon, Amazon o Jumia con un pedido pequeño de fundas?"
"ar","/ar/sourcing/restaurant-project-equipment/","restaurant-startup","بدء مشروع مطعم بميزانية محدودة: معدات أساسية من الصين","هل يمكن بدء مطبخ سحابي أو مشروع وجبات خارجية بعدد أقل من الآلات؟"
"ar","/ar/sourcing/restaurant-project-equipment/","kitchen-budget","ما أقل مجموعة معدات مطبخ تكلفةً وتلبي احتياجات التشغيل؟","هل يمكن تقديم مجموعة معدات اقتصادية وفق ميزانيتي؟"
"ar","/ar/screen-protectors/wholesale-for-stores/","retail-privacy","توريد واقيات شاشة للخصوصية من الصين لتجار التجزئة","أي مورد واقيات خصوصية يناسب متجر هواتف جديدًا؟"
"ar","/ar/sourcing/mobile-accessories-from-china/","accessory-startup","بدء تجارة ملحقات الهواتف: خطة أول طلب من الصين","هل يمكن جمع الأغطية والحبال وواقيات الخصوصية في طلب بداية صغير؟"
"ar","/ar/sourcing/restaurant-project-equipment/","small-cafe-budget","معدات منخفضة التكلفة لمقهى صغير من الصين","هل يمكن افتتاح مقهى صغير بمعدات اقتصادية أساسية؟"
"ar","/ar/sourcing/restaurant-project-equipment/","bar-equipment-budget","معدات اقتصادية للبارات ومحطات تحضير الكوكتيلات من الصين","كيف أخفض الاستثمار الأولي لمعدات تحضير الكوكتيلات؟"
"ar","/ar/sourcing/audio-speakers-from-china/","party-speaker-budget","البحث عن مورد سماعات حفلات بلوتوث اقتصادية من الصين","هل يمكن العثور على أرخص سماعات حفلات بلوتوث لإعادة البيع؟"
"ar","/ar/phone-cases/","marketplace-seller-startup","بدء تجارة أغطية الهواتف إلكترونيًا بميزانية محدودة: Noon وAmazon وJumia","هل يمكن البدء بكمية صغيرة من الأغطية على Noon أو Amazon أو Jumia؟"
"ru","/ru/sourcing/restaurant-project-equipment/","restaurant-startup","Открытие ресторана с небольшим бюджетом: необходимое оборудование из Китая","Можно ли открыть кухню доставки с меньшим количеством машин?"
"ru","/ru/sourcing/restaurant-project-equipment/","kitchen-budget","Как выбрать самый недорогой комплект кухни, подходящий для работы?","Можно ли подобрать бюджетный комплект под мою сумму?"
"ru","/ru/screen-protectors/wholesale-for-stores/","retail-privacy","Поставщики защитных стёкол антишпион из Китая для розничных магазинов","Какой поставщик стёкол антишпион подойдёт новому магазину?"
"ru","/ru/sourcing/mobile-accessories-from-china/","accessory-startup","Бизнес на аксессуарах для телефонов: первая закупка из Китая","Можно ли объединить чехлы, ремешки и стёкла антишпион в небольшую первую закупку?"
"ru","/ru/sourcing/restaurant-project-equipment/","small-cafe-budget","Недорогое оборудование из Китая для небольшой кофейни","Можно ли открыть небольшую кофейню с базовым комплектом?"
"ru","/ru/sourcing/restaurant-project-equipment/","bar-equipment-budget","Бюджетное оборудование из Китая для бара и коктейльной стойки","Как снизить первые затраты на коктейльный бар?"
"ru","/ru/sourcing/audio-speakers-from-china/","party-speaker-budget","Как найти недорогого поставщика Bluetooth-колонок для вечеринок в Китае?","Можно ли найти самые дешёвые Bluetooth-колонки для перепродажи?"
"ru","/ru/phone-cases/","marketplace-seller-startup","Недорогой старт продаж чехлов на Noon, Amazon и Jumia","Можно ли начать продажи на Noon, Amazon или Jumia с небольшой партии чехлов?"
"fr","/fr/sourcing/restaurant-project-equipment/","restaurant-startup","Ouvrir un restaurant avec un petit budget : équipements essentiels de Chine","Une cuisine de livraison peut-elle démarrer avec moins de machines ?"
"fr","/fr/sourcing/restaurant-project-equipment/","kitchen-budget","Quel ensemble de cuisine professionnelle est le moins cher tout en étant adapté ?","Pouvez-vous chiffrer un ensemble économique selon mon budget ?"
"fr","/fr/screen-protectors/wholesale-for-stores/","retail-privacy","Fournisseurs de protections d’écran anti-espion de Chine pour détaillants","Quel fournisseur de protections anti-espion convient à une nouvelle boutique ?"
"fr","/fr/sourcing/mobile-accessories-from-china/","accessory-startup","Créer un commerce d’accessoires de téléphone : premier achat en Chine","Puis-je regrouper coques, cordons et protections anti-espion dans une petite première commande ?"
"fr","/fr/sourcing/restaurant-project-equipment/","small-cafe-budget","Petit café à budget réduit : équipements essentiels de Chine","Un petit café peut-il démarrer avec un équipement d’entrée de gamme ?"
"fr","/fr/sourcing/restaurant-project-equipment/","bar-equipment-budget","Équipements économiques de Chine pour bar et bar à cocktails","Comment réduire l’investissement initial d’un bar à cocktails ?"
"fr","/fr/sourcing/audio-speakers-from-china/","party-speaker-budget","Trouver un fournisseur économique d’enceintes de soirée Bluetooth en Chine","Pouvez-vous trouver les enceintes Bluetooth de soirée les moins chères à revendre ?"
"fr","/fr/phone-cases/","marketplace-seller-startup","Démarrer la vente de coques à petit budget sur Noon, Amazon et Jumia","Puis-je commencer sur Noon, Amazon ou Jumia avec une petite commande de coques ?"
"pt","/pt/sourcing/restaurant-project-equipment/","restaurant-startup","Empreender na alimentação com pouco dinheiro: equipamentos essenciais da China","Uma operação de entrega ou cozinha exclusiva para delivery pode começar com menos máquinas?"
"pt","/pt/sourcing/restaurant-project-equipment/","kitchen-budget","Qual é o conjunto de equipamentos de cozinha mais barato que atende à operação?","Vocês podem cotar uma cozinha econômica de acordo com meu orçamento?"
"pt","/pt/screen-protectors/wholesale-for-stores/","retail-privacy","Fornecedores de películas de privacidade da China para lojistas","Qual fornecedor de película de privacidade atende uma loja nova?"
"pt","/pt/sourcing/mobile-accessories-from-china/","accessory-startup","Começar um negócio de acessórios para celular: primeiro pedido da China","Posso juntar capas, cordões e películas de privacidade em um pequeno pedido inicial?"
"pt","/pt/sourcing/restaurant-project-equipment/","small-cafe-budget","Cafeteria pequena com pouco investimento: equipamentos básicos da China","Posso abrir uma cafeteria pequena com equipamentos de entrada?"
"pt","/pt/sourcing/restaurant-project-equipment/","bar-equipment-budget","Equipamentos econômicos da China para bares e coquetelarias","Como reduzir o investimento inicial de uma coquetelaria?"
"pt","/pt/sourcing/audio-speakers-from-china/","party-speaker-budget","Como encontrar fornecedores econômicos de caixas de som Bluetooth para festas na China","Vocês encontram as caixas Bluetooth para festas mais baratas para revenda?"
"pt","/pt/phone-cases/","marketplace-seller-startup","Começar um ecommerce de capas com baixo investimento: Noon, Amazon e Jumia","Posso começar na Noon, Amazon ou Jumia com um pedido pequeno de capas?"
"tr","/tr/sourcing/restaurant-project-equipment/","restaurant-startup","Düşük bütçeyle restoran açmak: Çin’den temel ekipman tedariki","Paket servis veya bulut mutfak daha az makineyle başlayabilir mi?"
"tr","/tr/sourcing/restaurant-project-equipment/","kitchen-budget","İhtiyacı karşılayan en ucuz endüstriyel mutfak ekipman paketi nasıl seçilir?","Bütçeme uygun ekonomik mutfak paketi için teklif alabilir miyim?"
"tr","/tr/screen-protectors/wholesale-for-stores/","retail-privacy","Perakendeciler için Çin’den hayalet ekran koruyucu tedariki","Yeni telefon mağazası için hangi hayalet ekran koruyucu tedarikçisi uygundur?"
"tr","/tr/sourcing/mobile-accessories-from-china/","accessory-startup","Telefon aksesuarı işine başlamak: Çin’den ilk sipariş planı","Kılıf, askı ve hayalet ekran koruyucuları küçük bir başlangıç siparişinde birleştirebilir miyim?"
"tr","/tr/sourcing/restaurant-project-equipment/","small-cafe-budget","Küçük kafe için düşük maliyetli ekipman: Çin’den temel tedarik","Küçük bir kafe giriş seviyesi ekipmanla açılabilir mi?"
"tr","/tr/sourcing/restaurant-project-equipment/","bar-equipment-budget","Bar ve kokteyl barı için Çin’den ekonomik ekipman","Kokteyl barının ilk ekipman maliyeti nasıl azaltılır?"
"tr","/tr/sourcing/audio-speakers-from-china/","party-speaker-budget","Çin’de uygun fiyatlı Bluetooth parti hoparlörü tedarikçisi nasıl bulunur?","Yeniden satış için en ucuz Bluetooth parti hoparlörlerini bulabilir misiniz?"
"tr","/tr/phone-cases/","marketplace-seller-startup","Düşük bütçeyle telefon kılıfı e-ticareti: Noon, Amazon ve Jumia satıcıları","Noon, Amazon veya Jumia’da küçük bir kılıf siparişiyle başlayabilir miyim?"
