"url","locale","role","audience","primary_topic","reference_owner","h1","title","scope","intro_status"
"/ar/sourcing/restaurant-project-equipment/","ar","buyer-type","restaurant project contractors","توريد معدات مشاريع المطاعم من الصين","/sourcing/restaurant-project-equipment/","حوّل قائمة المعدات إلى طلب منسق.","توريد معدات مشاريع المطاعم من الصين | DDNZ Global","Existing published-content candidate; no search-volume estimate","pass"
"/screen-protectors/wholesale-for-stores/","en","buyer-type","phone stores and repair chains","wholesale screen protectors for stores","/screen-protectors/wholesale-for-stores/","Plan the phone mix before you place the order.","Wholesale Screen Protectors for Stores & Chains | DDNZ","Existing published-content candidate; no search-volume estimate","pass"
"/es/screen-protectors/wholesale-for-stores/","es","buyer-type","phone stores and repair chains","Micas por mayoreo para tiendas y cadenas","/screen-protectors/wholesale-for-stores/","Defina la mezcla de celulares antes de comprar.","Micas por mayoreo para tiendas y cadenas | DDNZ Global","Existing published-content candidate; no search-volume estimate","pass"
"/ar/screen-protectors/wholesale-for-stores/","ar","buyer-type","phone stores and repair chains","واقيات شاشة بالجملة للمتاجر وسلاسل الصيانة","/screen-protectors/wholesale-for-stores/","حدد تشكيلة الهواتف قبل تقديم الطلب.","واقيات شاشة بالجملة للمتاجر وسلاسل الصيانة | DDNZ","Existing published-content candidate; no search-volume estimate","pass"
"/screen-protectors/private-label/","en","buyer-type","own-brand sellers","private label screen protectors China","/screen-protectors/private-label/","Build the product behind your brand.","Private Label Screen Protector Sourcing | DDNZ Global","Existing published-content candidate; no search-volume estimate","pass"
"/es/screen-protectors/private-label/","es","buyer-type","own-brand sellers","Micas de marca propia desde China","/screen-protectors/private-label/","Defina el producto que llevará su marca.","Micas de marca propia desde China | DDNZ Global","Existing published-content candidate; no search-volume estimate","pass"
"/ar/screen-protectors/private-label/","ar","buyer-type","own-brand sellers","توريد واقيات شاشة بعلامتك التجارية من الصين","/screen-protectors/private-label/","حدد المنتج الذي سيحمل علامتك.","توريد واقيات شاشة بعلامتك التجارية من الصين | DDNZ","Existing published-content candidate; no search-volume estimate","pass"
"/sourcing/commercial-ice-machines-from-china/","en","product-category","hospitality equipment dealers","commercial ice machines from China","/sourcing/commercial-ice-machines-from-china/","Commercial ice machines. Find your output range.","Commercial Ice Machines from China: Compare Models | DDNZ","Existing published-content candidate; no search-volume estimate","pass"
"/sourcing/commercial-electric-fryers-from-china/","en","product-category","catering equipment dealers","commercial electric fryers from China","/sourcing/commercial-electric-fryers-from-china/","Commercial electric fryers. Choose the tank layout.","Commercial Electric Fryers from China: 10L & Twin Tank | DDNZ","Existing published-content candidate; no search-volume estimate","pass"
"/sourcing/commercial-electric-griddles-from-china/","en","product-category","catering equipment dealers","commercial electric griddles from China","/sourcing/commercial-electric-griddles-from-china/","Commercial electric griddles. Make the surface count.","Commercial Electric Griddles from China: Compare Sizes | DDNZ","Existing published-content candidate; no search-volume estimate","pass"
"/","en","brand-and-combined-service","importers needing buying and shipping","China sourcing and international freight forwarding","/","Source in China. Connect every step to international freight.","China Sourcing & International Freight Forwarding | DDNZ Global","Existing published-content candidate; no search-volume estimate","pass"
"/zh-cn/","zh-cn","brand-and-combined-service","importers needing buying and shipping","中国采购与国际货运代理","/","中国采购与国际货运，从需求到出运衔接。","中国采购与国际货运代理 | DDNZ Global","Existing published-content candidate; no search-volume estimate","pass"
"/ru/","ru","brand-and-combined-service","importers needing buying and shipping","Закупки в Китае и международные перевозки","/","Закупки в Китае. Связь каждого этапа с международной перевозкой.","Закупки в Китае и международные перевозки | DDNZ Global","Existing published-content candidate; no search-volume estimate","pass"
"/fr/","fr","brand-and-combined-service","importers needing buying and shipping","Sourcing en Chine et fret international","/","Sourcer en Chine. Relier chaque étape au fret international.","Sourcing en Chine et fret international | DDNZ Global","Existing published-content candidate; no search-volume estimate","pass"
"/es/","es","brand-and-combined-service","importers needing buying and shipping","Compras en China y transporte internacional","/","Compre en China. Conecte cada paso con el transporte internacional.","Compras en China y transporte internacional | DDNZ Global","Existing published-content candidate; no search-volume estimate","pass"
"/ar/","ar","brand-and-combined-service","importers needing buying and shipping","التوريد من الصين والشحن الدولي","/","توريد من الصين. اربط كل خطوة بالشحن الدولي.","التوريد من الصين والشحن الدولي | DDNZ Global","Existing published-content candidate; no search-volume estimate","pass"
"/pt/","pt","brand-and-combined-service","importers needing buying and shipping","Sourcing na China e transporte internacional","/","Compre na China. Conecte cada etapa ao transporte internacional.","Sourcing na China e transporte internacional | DDNZ Global","Existing published-content candidate; no search-volume estimate","pass"
"/tr/","tr","brand-and-combined-service","importers needing buying and shipping","Çin’den tedarik ve uluslararası taşımacılık","/","Çin’den tedarik edin. Her adımı uluslararası taşımaya bağlayın.","Çin’den tedarik ve uluslararası taşımacılık | DDNZ Global","Existing published-content candidate; no search-volume estimate","pass"
"/how-we-work/","en","process","first-time importers and repeat buyers","China sourcing process","/how-we-work/","One brief. Six accountable checkpoints from supplier search to export handoff.","How China Sourcing Works | DDNZ Global","Existing published-content candidate; no search-volume estimate","context-only"
"/zh-cn/how-we-work/","zh-cn","process","first-time importers and repeat buyers","中国采购服务流程","/how-we-work/","一份采购需求，六个责任节点，从供应商搜索到出口交接。","中国采购服务流程 | DDNZ Global 大递诺展","Existing published-content candidate; no search-volume estimate","context-only"
"/ru/how-we-work/","ru","process","first-time importers and repeat buyers","Как работает закупка в Китае","/how-we-work/","Один бриф. Шесть ответственных этапов — от поставщика до экспортной передачи.","Как работает закупка в Китае | DDNZ Global","Existing published-content candidate; no search-volume estimate","context-only"
"/fr/how-we-work/","fr","process","first-time importers and repeat buyers","Processus de sourcing en Chine","/how-we-work/","Un brief. Six points de contrôle, de la recherche fournisseur à la transmission export.","Processus de sourcing en Chine | DDNZ Global","Existing published-content candidate; no search-volume estimate","context-only"
"/es/how-we-work/","es","process","first-time importers and repeat buyers","Cómo funciona la compra en China","/how-we-work/","Un brief. Seis puntos responsables desde la búsqueda del proveedor hasta la entrega de exportación.","Cómo funciona la compra en China | DDNZ Global","Existing published-content candidate; no search-volume estimate","context-only"
"/ar/how-we-work/","ar","process","first-time importers and repeat buyers","كيف تعمل عملية التوريد من الصين","/how-we-work/","موجز واحد وست نقاط مسؤولية من البحث عن المورد إلى تسليم التصدير.","كيف تعمل عملية التوريد من الصين | DDNZ Global","Existing published-content candidate; no search-volume estimate","context-only"
"/pt/how-we-work/","pt","process","first-time importers and repeat buyers","Como funciona o sourcing na China","/how-we-work/","Um brief. Seis pontos de responsabilidade, da busca à entrega para exportação.","Como funciona o sourcing na China | DDNZ Global","Existing published-content candidate; no search-volume estimate","context-only"
"/tr/how-we-work/","tr","process","first-time importers and repeat buyers","Çin tedarik süreci nasıl işler","/how-we-work/","Tek talep. Tedarikçi aramadan ihracat teslimine altı sorumlu kontrol noktası.","Çin tedarik süreci nasıl işler | DDNZ Global","Existing published-content candidate; no search-volume estimate","context-only"
"/insights/","en","research-directory","buyers researching before an order","China sourcing and shipping guides","/insights/","China sourcing and shipping guides for importers.","China Sourcing & Shipping Guides | DDNZ Global","Existing published-content candidate; no search-volume estimate","context-only"
"/zh-cn/insights/","zh-cn","research-directory","buyers researching before an order","中国采购与国际运输指南","/insights/","面向进口商的中国采购与运输指南。","中国采购与国际运输指南 | DDNZ Global","Existing published-content candidate; no search-volume estimate","context-only"
"/ru/insights/","ru","research-directory","buyers researching before an order","Руководства по закупкам и доставке из Китая","/insights/","Закупки и доставка из Китая: руководства для импортеров.","Руководства по закупкам и доставке из Китая | DDNZ Global","Existing published-content candidate; no search-volume estimate","context-only"
"/fr/insights/","fr","research-directory","buyers researching before an order","Guides sourcing et transport depuis la Chine","/insights/","Guides sourcing et transport de Chine pour importateurs.","Guides sourcing et transport depuis la Chine | DDNZ Global","Existing published-content candidate; no search-volume estimate","context-only"
"/es/insights/","es","research-directory","buyers researching before an order","Guías de compras y envíos desde China","/insights/","Guías de compras y envíos desde China para importadores.","Guías de compras y envíos desde China | DDNZ Global","Existing published-content candidate; no search-volume estimate","context-only"
"/ar/insights/","ar","research-directory","buyers researching before an order","أدلة التوريد والشحن من الصين","/insights/","أدلة التوريد والشحن من الصين للمستوردين.","أدلة التوريد والشحن من الصين | DDNZ Global","Existing published-content candidate; no search-volume estimate","context-only"
"/pt/insights/","pt","research-directory","buyers researching before an order","Guias de compras e transporte da China","/insights/","Guias de compras e transporte da China para importadores.","Guias de compras e transporte da China | DDNZ Global","Existing published-content candidate; no search-volume estimate","context-only"
"/tr/insights/","tr","research-directory","buyers researching before an order","Çin’den tedarik ve nakliye rehberleri","/insights/","İthalatçılar için Çin’den tedarik ve nakliye rehberleri.","Çin’den tedarik ve nakliye rehberleri | DDNZ Global","Existing published-content candidate; no search-volume estimate","context-only"
"/services/sea-freight/","en","freight-mode","importers shipping containers","sea freight from China","/services/sea-freight/","One container. Every detail counts.","Sea Freight from China | FCL, LCL & Loading Plans | DDNZ Global","Existing published-content candidate; no search-volume estimate","pass"
"/zh-cn/services/sea-freight/","zh-cn","freight-mode","importers shipping containers","中国海运｜整柜、拼箱与装载规划","/services/sea-freight/","一柜货。 每一步，都算数。","中国海运｜整柜、拼箱与装载规划 | DDNZ Global","Existing published-content candidate; no search-volume estimate","pass"
"/ru/services/sea-freight/","ru","freight-mode","importers shipping containers","Морские перевозки из Китая: важна каждая деталь","/services/sea-freight/","Морские перевозки из Китая: важна каждая деталь","Морские перевозки из Китая: важна каждая деталь | DDNZ Global","Existing published-content candidate; no search-volume estimate","pass"
"/fr/services/sea-freight/","fr","freight-mode","importers shipping containers","Fret maritime depuis la Chine : chaque détail compte","/services/sea-freight/","Fret maritime depuis la Chine : chaque détail compte","Fret maritime depuis la Chine : chaque détail compte | DDNZ Global","Existing published-content candidate; no search-volume estimate","pass"
"/es/services/sea-freight/","es","freight-mode","importers shipping containers","Transporte marítimo desde China | FCL, LCL y carga","/services/sea-freight/","Un contenedor. Cada detalle cuenta.","Transporte marítimo desde China | FCL, LCL y carga | DDNZ Global","Existing published-content candidate; no search-volume estimate","pass"
"/ar/services/sea-freight/","ar","freight-mode","importers shipping containers","الشحن البحري من الصين: كل تفصيل مهم","/services/sea-freight/","الشحن البحري من الصين: كل تفصيل مهم","الشحن البحري من الصين: كل تفصيل مهم | DDNZ Global","Existing published-content candidate; no search-volume estimate","pass"
"/pt/services/sea-freight/","pt","freight-mode","importers shipping containers","Frete marítimo da China: cada detalhe conta","/services/sea-freight/","Frete marítimo da China: cada detalhe conta","Frete marítimo da China: cada detalhe conta | DDNZ Global","Existing published-content candidate; no search-volume estimate","pass"
"/tr/services/sea-freight/","tr","freight-mode","importers shipping containers","Çin’den denizyolu taşımacılığı: her ayrıntı önemli","/services/sea-freight/","Çin’den denizyolu taşımacılığı: her ayrıntı önemli","Çin’den denizyolu taşımacılığı: her ayrıntı önemli | DDNZ Global","Existing published-content candidate; no search-volume estimate","pass"
"/services/lcl-shipping-from-china/","en","freight-mode","small commercial shipment buyers","LCL shipping from China","/services/lcl-shipping-from-china/","Less than a container. Plan the whole journey.","LCL Shipping from China | Costs, Packing & Delivery | DDNZ Global","Existing published-content candidate; no search-volume estimate","pass"
"/zh-cn/services/lcl-shipping-from-china/","zh-cn","freight-mode","small commercial shipment buyers","中国 LCL 拼箱与集运｜费用、包装与交付","/services/lcl-shipping-from-china/","不满一柜， 也要把每一步算清。","中国 LCL 拼箱与集运｜费用、包装与交付 | DDNZ Global","Existing published-content candidate; no search-volume estimate","pass"
"/ru/services/lcl-shipping-from-china/","ru","freight-mode","small commercial shipment buyers","Сборные морские грузы из Китая: планируйте весь путь","/services/lcl-shipping-from-china/","Сборные морские грузы из Китая: планируйте весь путь","Сборные морские грузы из Китая: планируйте весь путь | DDNZ Global","Existing published-content candidate; no search-volume estimate","pass"
"/fr/services/lcl-shipping-from-china/","fr","freight-mode","small commercial shipment buyers","Groupage maritime depuis la Chine : prévoir tout le trajet","/services/lcl-shipping-from-china/","Groupage maritime depuis la Chine : prévoir tout le trajet","Groupage maritime depuis la Chine : prévoir tout le trajet | DDNZ Global","Existing published-content candidate; no search-volume estimate","pass"
"/es/services/lcl-shipping-from-china/","es","freight-mode","small commercial shipment buyers","Envíos LCL desde China | Costos, embalaje y entrega","/services/lcl-shipping-from-china/","Menos de un contenedor. Planifica todo el recorrido.","Envíos LCL desde China | Costos, embalaje y entrega | DDNZ Global","Existing published-content candidate; no search-volume estimate","pass"
"/ar/services/lcl-shipping-from-china/","ar","freight-mode","small commercial shipment buyers","الشحن البحري الجزئي من الصين: خطط للرحلة كاملة","/services/lcl-shipping-from-china/","الشحن البحري الجزئي من الصين: خطط للرحلة كاملة","الشحن البحري الجزئي من الصين: خطط للرحلة كاملة | DDNZ Global","Existing published-content candidate; no search-volume estimate","pass"
"/pt/services/lcl-shipping-from-china/","pt","freight-mode","small commercial shipment buyers","Carga marítima LCL da China: planeje todo o percurso","/services/lcl-shipping-from-china/","Carga marítima LCL da China: planeje todo o percurso","Carga marítima LCL da China: planeje todo o percurso | DDNZ Global","Existing published-content candidate; no search-volume estimate","pass"
"/tr/services/lcl-shipping-from-china/","tr","freight-mode","small commercial shipment buyers","Çin’den parsiyel denizyolu taşımacılığı: tüm süreci planlayın","/services/lcl-shipping-from-china/","Çin’den parsiyel denizyolu taşımacılığı: tüm süreci planlayın","Çin’den parsiyel denizyolu taşımacılığı: tüm süreci planlayın | DDNZ Global","Existing published-content candidate; no search-volume estimate","pass"
"/services/dangerous-goods-shipping-from-china/","en","specialist-freight","buyers with declared special cargo","dangerous goods shipping from China","/services/dangerous-goods-shipping-from-china/","Dangerous goods shipping from China & container securing","Dangerous goods shipping & container securing | DDNZ Global","Existing published-content candidate; no search-volume estimate","pass"
"/zh-cn/services/dangerous-goods-shipping-from-china/","zh-cn","specialist-freight","buyers with declared special cargo","危险品运输与装柜加固","/services/dangerous-goods-shipping-from-china/","中国危险品出口运输与装柜加固","危险品运输与装柜加固 | DDNZ Global","Existing published-content candidate; no search-volume estimate","pass"
"/ru/services/dangerous-goods-shipping-from-china/","ru","specialist-freight","buyers with declared special cargo","Перевозка опасных грузов из Китая и крепление в контейнере","/services/dangerous-goods-shipping-from-china/","Перевозка опасных грузов из Китая и крепление в контейнере","Перевозка опасных грузов из Китая и крепление в контейнере | DDNZ Global","Existing published-content candidate; no search-volume estimate","pass"
"/fr/services/dangerous-goods-shipping-from-china/","fr","specialist-freight","buyers with declared special cargo","Transport de marchandises dangereuses depuis la Chine et arrimage","/services/dangerous-goods-shipping-from-china/","Transport de marchandises dangereuses depuis la Chine et arrimage","Transport de marchandises dangereuses depuis la Chine et arrimage | DDNZ Global","Existing published-content candidate; no search-volume estimate","pass"
"/es/services/dangerous-goods-shipping-from-china/","es","specialist-freight","buyers with declared special cargo","Mercancías peligrosas y sujeción de carga","/services/dangerous-goods-shipping-from-china/","Transporte de mercancías peligrosas desde China y sujeción de carga","Mercancías peligrosas y sujeción de carga | DDNZ Global","Existing published-content candidate; no search-volume estimate","pass"
"/ar/services/dangerous-goods-shipping-from-china/","ar","specialist-freight","buyers with declared special cargo","شحن البضائع الخطرة من الصين وتثبيتها داخل الحاوية","/services/dangerous-goods-shipping-from-china/","شحن البضائع الخطرة من الصين وتثبيتها داخل الحاوية","شحن البضائع الخطرة من الصين وتثبيتها داخل الحاوية | DDNZ Global","Existing published-content candidate; no search-volume estimate","pass"
"/pt/services/dangerous-goods-shipping-from-china/","pt","specialist-freight","buyers with declared special cargo","Transporte de cargas perigosas da China e fixação em contêiner","/services/dangerous-goods-shipping-from-china/","Transporte de cargas perigosas da China e fixação em contêiner","Transporte de cargas perigosas da China e fixação em contêiner | DDNZ Global","Existing published-content candidate; no search-volume estimate","pass"
"/tr/services/dangerous-goods-shipping-from-china/","tr","specialist-freight","buyers with declared special cargo","Çin’den tehlikeli madde taşımacılığı ve konteyner içi sabitleme","/services/dangerous-goods-shipping-from-china/","Çin’den tehlikeli madde taşımacılığı ve konteyner içi sabitleme","Çin’den tehlikeli madde taşımacılığı ve konteyner içi sabitleme | DDNZ Global","Existing published-content candidate; no search-volume estimate","pass"
"/services/air-freight/","en","freight-mode","urgent commercial cargo buyers","air freight from China","/services/air-freight/","Air freight from China. Urgent cargo, with the acceptance checked first.","Air Freight China | Express Air Shipping Agent Shenzhen","Existing published-content candidate; no search-volume estimate","pass"
"/zh-cn/services/air-freight/","zh-cn","freight-mode","urgent commercial cargo buyers","深圳精密空运货代 | 跨境高时效航空货运报价","/services/air-freight/","中国空运服务。 紧急货，也要先把承运条件核对清楚。","深圳精密空运货代 | 跨境高时效航空货运报价","Existing published-content candidate; no search-volume estimate","pass"
"/ru/services/air-freight/","ru","freight-mode","urgent commercial cargo buyers","Авиаперевозки из Китая | Экспресс отправка Шэньчжэнь","/services/air-freight/","Авиаперевозки из Китая. Срочный груз — только после проверки допуска.","Авиаперевозки из Китая | Экспресс отправка Шэньчжэнь","Existing published-content candidate; no search-volume estimate","pass"
"/fr/services/air-freight/","fr","freight-mode","urgent commercial cargo buyers","Fret Aérien Chine | Agence de Transit Express Shenzhen","/services/air-freight/","Fret aérien depuis la Chine. L’urgence commence par l’acceptation du fret.","Fret Aérien Chine | Agence de Transit Express Shenzhen","Existing published-content candidate; no search-volume estimate","pass"
"/es/services/air-freight/","es","freight-mode","urgent commercial cargo buyers","Carga aérea desde China","/services/air-freight/","Carga aérea desde China. La urgencia empieza por confirmar la aceptación.","Carga aérea desde China | DDNZ Global","Existing published-content candidate; no search-volume estimate","pass"
"/ar/services/air-freight/","ar","freight-mode","urgent commercial cargo buyers","الشحن الجوي من الصين","/services/air-freight/","الشحن الجوي من الصين. الشحنة العاجلة تبدأ أولاً بتأكيد القبول.","الشحن الجوي من الصين | DDNZ Global","Existing published-content candidate; no search-volume estimate","pass"
"/services/amazon-fba/","en","freight-service","Amazon sellers with confirmed shipment plans","Amazon FBA logistics from China","/services/amazon-fba/","Amazon FBA logistics from China. Prep, transport and appointment—one controlled handover.","Amazon FBA Prep China | Professional FNSKU Labeling","Existing published-content candidate; no search-volume estimate","pass"
"/zh-cn/services/amazon-fba/","zh-cn","freight-service","Amazon sellers with confirmed shipment plans","出口亚马逊FBA仓配 | 双清包税贴标拼箱DDP","/services/amazon-fba/","中国至 Amazon FBA 物流。 贴标、运输、预约入仓，一次交接管清楚。","出口亚马逊FBA仓配 | 双清包税贴标拼箱DDP","Existing published-content candidate; no search-volume estimate","pass"
